Membership No  Date Joined  Active  
    20476      2020-11-12   no    
    29801      2020-5-6     no    
    66550      2017-1-21    no    
    78527      2019-11-8    no    
    88802      2020-5-10    no    
    49949      2017-9-19    no    
    18165      2020-2-6     no    
    15319      2020-11-8    no    
    77041      2019-12-4    no    
    69225      2018-10-21   no    
    16422      2017-12-14   no    
    85430      2019-8-4     no    
    84030      2019-4-13    no    
